695	6.93	9.01	  C	         LOMAP_BRN000.AT1	         LOMAP_BRN090.AT2
706	6.93	9.78	  D	         LOMAP_CAP090.AT2	         LOMAP_CAP090.AT2
708	6.93	30.89	  D	         LOMAP_CLD195.AT1	         LOMAP_CLD285.AT2
717	6.93	28.98	  C	         LOMAP_GIL067.AT1	         LOMAP_GIL337.AT2
719	6.93	28.64	  B	         LOMAP_G01090.AT2	         LOMAP_G01090.AT2
723	6.93	35.47	  C	         LOMAP_G06090.AT2	         LOMAP_G06090.AT2
755	6.93	20.13	  C	        LOMAP_SJTE315.AT2	        LOMAP_SJTE315.AT2
761	6.93	16.51	  C	         LOMAP_UC2090.AT2	         LOMAP_UC2090.AT2
762	6.93	16.34	  C	         LOMAP_LOB000.AT1	         LOMAP_LOB090.AT2
763	6.93	12.56	  C	         LOMAP_WAH000.AT1	         LOMAP_WAH090.AT2
902	6.69	16.27	  C	        NORTHR_MU2125.AT2	        NORTHR_MU2125.AT2
904	6.69	31.55	  C	        NORTHR_TUJ352.AT2	        NORTHR_TUJ352.AT2
906	6.69	63.53	  D	        NORTHR_BPK090.AT1	        NORTHR_BPK180.AT2
918	6.69	47.48	  D	        NORTHR_DWN090.AT1	        NORTHR_DWN360.AT2
942	6.69	30.27	  C	        NORTHR_FLE144.AT1	        NORTHR_FLE234.AT2
943	6.69	25.42	  B	      NORTHR_0141-270.AT1	      NORTHR_0141-360.AT2
944	6.69	23.61	  D	        NORTHR_PEL360.AT2	        NORTHR_PEL360.AT2
945	6.69	16.99	  D	        NORTHR_FAR090.AT2	        NORTHR_FAR090.AT2
950	6.69	33.77	  D	        NORTHR_GR2090.AT1	        NORTHR_GR2180.AT2
952	6.69	25.52	  D	        NORTHR_STN110.AT2	        NORTHR_STN110.AT2
955	6.69	18.62	  C	        NORTHR_UCL090.AT1	        NORTHR_UCL360.AT2
956	6.69	36.47	  C	        NORTHR_UNI005.AT1	        NORTHR_UNI095.AT2
958	6.69	19.55	  C	     NORTHR_5082A-325.AT1	     NORTHR_5082A-235.AT2
959	6.69	19.55	  C	      NORTHR_5082-325.AT1	      NORTHR_5082-235.AT2
998	6.69	20.36	  A	        NORTHR_PAC175.AT1	        NORTHR_PAC265.AT2
1029	6.69	14.41	  C	        NORTHR_SCR090.AT2	        NORTHR_SCR090.AT2
1055	6.90	24.20	  D	          KOBE_KAK000.AT1	          KOBE_KAK090.AT2
