,Curv,M,Yield - curv,Yield - M,Ult - curv,Ult - M
0,0.0,0.0,0.0017561944536006815,115.0,0.0311478,74.7045
1,0.00098218,64.3156,,,,
2,0.00238729,115.704,,,,
3,0.00485273,139.121,,,,
4,0.0177107,78.31689999999999,,,,
5,0.0246002,74.8678,,,,
6,0.0311478,74.7045,,,,
7,0.0375993,75.4646,,,,
8,0.0440054,76.6611,,,,
9,0.0503676,78.2793,,,,
10,0.056725,79.94369999999999,,,,
11,0.063073,81.6985,,,,
12,0.0694091,83.5681,,,,
