,OK=0,Ground motion,Load factor,E - glob,Gl Drift,Gl Drift - class,Element ID,Section ID (E el.),E el.,Section ID (PA el.),PA el.,PA el. - class,LN_Node,LN_Energy,LN_Res_Def
0,0,CHICHI_HWA033-N,1,1.5425754581052467,0.269634,Minor,"[1020, 1121, 1222, 1323, 2021, 2122, 2223, 2030, 2131, 2232, 2333, 3031, 3132, 3233, 3040, 3141, 3242, 3343, 4041, 4142, 4243]","[1, 1, 1, 1, 1, 1, 5, 5, 5, 5, 5, 1, 1, 5, 5, 5, 5, 5, 1, 1, 5]","[0.15044441611488063, 0.20471432586591953, 0.20330010294670733, 0.1535617016290815, 0.020484827836001234, 0.003256260112642158, 0.01494930371363259, 0.016847303430069505, 0.08324383948814067, 0.08322172438064769, 0.01301522822599794, 0.0028419880027607705, 0.0009817367416420355, 0.0020237780845267566, 0.001107304637847206, 0.0035057801669551225, 0.0037578126471772364, 0.0010195192731566182, 0.00013142878000501628, 6.50454543473339e-05, 0.0001205267428034864]","[1, 1, 1, 1, 1, 1, 1, 5, 5, 5, 5, 1, 1, 1, 5, 5, 5, 5, 5, 1, 1]","[0.09473844578954507, 0.11187895809772308, 0.10941370434095361, 0.09999600948794556, 0.035060991668369096, 0.023226803529371693, 0.029980703851105118, 0.04375430173629162, 0.0696423156428131, 0.06983807488913753, 0.037013756877756834, 0.02257788217645631, 0.018603398669609344, 0.02097551979311003, 0.02317210916843861, 0.026580912985648054, 0.027740169152258326, 0.021904329844342645, 0.009755243891538002, 0.009690285973396029, 0.010182884415507052]","['No damage', 'Minor', 'Minor', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage']","[[10, 20], [11, 21], [12, 22], [13, 23], [20, 21], [21, 22], [22, 23], [20, 30], [21, 31], [22, 32], [23, 33], [30, 31], [31, 32], [32, 33], [30, 40], [31, 41], [32, 42], [33, 43], [40, 41], [41, 42], [42, 43]]","[[0.15044441611488063, 0.027769883645265708], [0.20471432586591953, 0.10525842763263533], [0.20330010294670733, 0.1050414742776828], [0.1535617016290815, 0.023787647025208997], [0.020484827836001234, 0.006893845822343198], [0.003256260112642158, 0.0020866047272564063], [0.011142496938054103, 0.01494930371363259], [0.006546397333359672, 0.016847303430069505], [0.06655365143605639, 0.08324383948814067], [0.06639929629626748, 0.08322172438064769], [0.004746034830242363, 0.01301522822599794], [0.0028419880027607705, 0.0012489817203135654], [0.0009817367416420355, 0.0008462980588324942], [0.0016722508218815092, 0.0020237780845267566], [0.00037860843364556597, 0.001107304637847206], [0.002016811061919933, 0.0035057801669551225], [0.0020374993031506243, 0.0037578126471772364], [0.0003446883559151064, 0.0010195192731566182], [0.00013142878000501628, 4.8678489926262656e-05], [6.50454543473339e-05, 5.8199031703681363e-05], [5.5154056525373745e-05, 0.0001205267428034864]]","[[-3.40031e-05, -2.24732e-05], [-7.41193e-06, -7.7326e-06], [-1.82057e-05, -1.56164e-05], [1.20753e-05, 9.70915e-06], [1.27469e-05, -6.5217e-06], [6.5751e-06, -3.34943e-06], [1.2545e-05, -2.12633e-06], [-1.32114e-05, -2.28007e-05], [-3.15864e-06, -4.06824e-06], [-7.3443e-06, -8.00099e-06], [9.31043e-06, 1.23316e-05], [3.2921e-06, -2.10095e-06], [3.4732e-06, -2.47707e-06], [3.48586e-06, -1.34287e-07], [-2.78997e-06, -8.27746e-06], [-5.18405e-07, -5.28784e-07], [-1.40602e-06, -2.72417e-06], [2.78597e-06, 6.74541e-06], [-3.22207e-07, -5.11239e-07], [1.17604e-06, -9.60275e-07], [6.56683e-07, 6.70631e-07]]"
1,0,CHICHI_TCU072-N,1,112.05472133733232,2.382274285714286,Severe,"[1020, 1121, 1222, 1323, 2021, 2122, 2223, 2030, 2131, 2232, 2333, 3031, 3132, 3233, 3040, 3141, 3242, 3343, 4041, 4142, 4243]","[1, 1, 1, 1, 1, 1, 5, 5, 5, 5, 5, 1, 1, 5, 5, 5, 5, 5, 1, 3, 5]","[86.45079569976153, 87.05761925713196, 87.545134868497, 86.77015740370415, 0.07434743123188267, 0.008642331868013019, 0.067340566805165, 0.06945897701509239, 0.32183376506932015, 0.31731666712829004, 0.06885493842130476, 0.01768452589272942, 0.004192482189255647, 0.013167890361982779, 0.012044567207689087, 0.045639131281236374, 0.04619210095682032, 0.007485454582143654, 0.0012878168951969498, 0.0002658354008649999, 0.0010709449715636387]","[1, 1, 1, 1, 1, 1, 5, 5, 5, 5, 5, 1, 1, 5, 5, 5, 5, 5, 1, 1, 1]","[6.145745656576404, 6.173185821947706, 6.1917481098386755, 6.178057618061343, 0.049934189208203396, 0.026378401680929663, 0.04555261227571463, 0.060064233459123276, 0.12470517756941094, 0.12134641486026748, 0.05438670145596472, 0.03086782935129827, 0.023542979420167073, 0.02765527529102357, 0.03691625767669057, 0.0537649908309039, 0.05458965798502662, 0.03128792924646146, 0.01379669985438055, 0.01279619628432435, 0.012602423665985381]","['Collapse', 'Collapse', 'Collapse', 'Collapse', 'No damage', 'No damage', 'No damage', 'No damage', 'Minor', 'Minor', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage']","[[10, 20], [11, 21], [12, 22], [13, 23], [20, 21], [21, 22], [22, 23], [20, 30], [21, 31], [22, 32], [23, 33], [30, 31], [31, 32], [32, 33], [30, 40], [31, 41], [32, 42], [33, 43], [40, 41], [41, 42], [42, 43]]","[[86.45079569976153, 59.89036362462096], [87.05761925713196, 74.38641558478193], [87.545134868497, 74.80792218649906], [86.77015740370415, 60.01576942483124], [0.07434743123188267, 0.021093131725231997], [0.008642331868013019, 0.0073913621395108875], [0.024954975028133233, 0.067340566805165], [0.023999141208330566, 0.06945897701509239], [0.29171016584052595, 0.32183376506932015], [0.2826360303814668, 0.31731666712829004], [0.02366800010650178, 0.06885493842130476], [0.01768452589272942, 0.0031510544417271396], [0.004192482189255647, 0.0026088929467387167], [0.005323602309636582, 0.013167890361982779], [0.003059549950192417, 0.012044567207689087], [0.022880044031838676, 0.045639131281236374], [0.022944512050865187, 0.04619210095682032], [0.0025740595796565576, 0.007485454582143654], [0.0012878168951969498, -0.0010636666864634423], [-0.00014475229391080157, -0.0002747513485204219], [-0.0008613061116260003, 0.0010709449715636387]]","[[-0.000463102, -0.000730281], [-0.000433274, -0.000454895], [-0.00044808, -0.000425076], [-0.000397208, -8.27914e-05], [2.89781e-05, -1.21383e-05], [8.05818e-06, -6.02674e-06], [1.5806e-05, -1.4179e-05], [-1.73879e-05, -4.27794e-05], [-9.47005e-06, -9.77861e-06], [-2.10401e-06, -1.84492e-06], [1.28691e-05, 2.90005e-05], [1.28438e-05, -3.24102e-06], [6.25469e-06, -3.32727e-06], [5.84053e-06, -4.98992e-06], [-6.67912e-06, -2.22945e-05], [-5.99452e-06, -8.55712e-06], [-3.14628e-06, -3.23256e-06], [4.53343e-06, 1.18458e-05], [2.87894e-07, -4.77692e-07], [1.72933e-06, -1.04062e-06], [7.27957e-07, 1.26428e-06]]"
2,0,COYOTELK_G02050,1,0.6080810605024125,0.20695057142857146,Minor,"[1020, 1121, 1222, 1323, 2021, 2122, 2223, 2030, 2131, 2232, 2333, 3031, 3132, 3233, 3040, 3141, 3242, 3343, 4041, 4142, 4243]","[1, 1, 1, 1, 1, 1, 1, 5, 5, 5, 5, 1, 1, 1, 5, 5, 5, 5, 1, 1, 1]","[0.06763561708872783, 0.10897231292669755, 0.10865669857451667, 0.06734767974727003, 0.010093570504783728, 0.0024834303844621843, 0.006599339068906683, 0.0100035779584083, 0.04095876550348004, 0.04121486468991543, 0.006341875494129229, 0.0023237841911174966, 0.0013133885039394244, 0.0018396642104309508, 0.0014218336033559541, 0.0030856960566847435, 0.0031751019244130826, 0.0009510205859442344, 0.00019063240292727449, 0.00013077269821299515, 0.0001378132261110473]","[1, 1, 1, 1, 1, 1, 1, 5, 5, 5, 5, 1, 1, 1, 5, 5, 5, 5, 5, 1, 1]","[0.058882474564984834, 0.06923386168107437, 0.06832895991453983, 0.05851122272665739, 0.027206308798624186, 0.020192974893633066, 0.02467870292574169, 0.03420733848896037, 0.04849513544726752, 0.04891152840859064, 0.028526688709009627, 0.019488392708494624, 0.016686257910180042, 0.018510547757416482, 0.020753062548987483, 0.022517970533853, 0.023413790731385758, 0.019118287885782903, 0.008781050517410922, 0.008808299575351272, 0.009344859282892632]","['No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage']","[[10, 20], [11, 21], [12, 22], [13, 23], [20, 21], [21, 22], [22, 23], [20, 30], [21, 31], [22, 32], [23, 33], [30, 31], [31, 32], [32, 33], [30, 40], [31, 41], [32, 42], [33, 43], [40, 41], [41, 42], [42, 43]]","[[0.06763561708872783, 0.012562856568165536], [0.10897231292669755, 0.05219537306147122], [0.10865669857451667, 0.052368347032747516], [0.06734767974727003, 0.010556793941073138], [0.010093570504783728, 0.003383803701776251], [0.0024834303844621843, 0.0014972413558779277], [0.006599339068906683, 0.0055133342099209295], [0.00526513431976644, 0.0100035779584083], [0.03198156972076639, 0.04095876550348004], [0.03263726488562818, 0.04121486468991543], [0.0036453644608289088, 0.006341875494129229], [0.0023237841911174966, 0.0008674030678108512], [0.0013133885039394244, 0.0005192518723864423], [0.0018396642104309508, 0.001335961219313041], [0.0004660017304284091, 0.0014218336033559541], [0.0018955797965483755, 0.0030856960566847435], [0.0019406561610794595, 0.0031751019244130826], [0.00024297901890240508, 0.0009510205859442344], [0.00019063240292727449, -6.335116614695395e-05], [0.00013077269821299515, -4.726471719250676e-05], [0.0001378132261110473, 4.604892069381213e-05]]","[[-2.26115e-05, -1.28046e-05], [-5.9951e-06, -2.5396e-06], [-1.27432e-05, -8.24943e-06], [5.30713e-06, 1.02637e-05], [6.94113e-06, -2.28226e-06], [4.45917e-06, -2.2789e-06], [6.9383e-06, 1.43973e-06], [-1.09494e-05, -1.5774e-05], [-5.21231e-06, -5.75584e-06], [-8.74438e-06, -8.17716e-06], [5.6688e-06, 7.69971e-06], [2.83881e-06, -1.22685e-06], [3.22284e-06, -1.54815e-06], [3.00113e-06, 7.93225e-07], [-2.36756e-06, -7.39867e-06], [-5.05734e-07, -1.25897e-06], [-1.10306e-06, -3.01369e-06], [2.9886e-06, 5.29665e-06], [-2.45612e-07, -3.62033e-07], [9.71799e-07, -7.34434e-07], [5.18866e-07, 6.32662e-07]]"
3,0,IMPVALL_H-E06230,1,18.245244992815646,1.469117142857143,Moderate,"[1020, 1121, 1222, 1323, 2021, 2122, 2223, 2030, 2131, 2232, 2333, 3031, 3132, 3233, 3040, 3141, 3242, 3343, 4041, 4142, 4243]","[1, 1, 1, 1, 1, 5, 5, 5, 5, 1, 5, 5, 5, 5, 5, 5, 5, 5, 1, 3, 5]","[12.14939770790662, 13.440573810647377, 13.04554470604788, 13.629096048097972, 0.05299928808680151, 0.007999773479576833, 0.07754444818204156, 0.06881608227327761, 0.2985541330932869, 0.29612429291811077, 0.07839711709357633, 0.008243778604528976, 0.003676044321289661, 0.017356785978898306, 0.002059058602562661, 0.03207539355451747, 0.026648144752785485, 0.007416199605710863, 0.0003545826666445987, 0.00014537115011700017, 0.0009342044843464127]","[1, 1, 1, 1, 1, 5, 5, 5, 5, 1, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]","[1.8613861934190514, 1.89517938773789, 1.8827285938992842, 1.907408513708418, 0.04405387735858289, 0.02769704193338714, 0.05984219871099356, 0.07301999333753473, 0.16109594572702732, 0.16295416928780235, 0.08080614031930741, 0.029037216245353326, 0.024409301002731476, 0.03329154422268229, 0.023542634282932236, 0.05631033191829267, 0.051754489130061775, 0.034332869341061445, 0.013159193556936868, 0.012799884944507593, 0.013184151239233796]","['Collapse', 'Collapse', 'Collapse', 'Collapse', 'No damage', 'No damage', 'No damage', 'No damage', 'Minor', 'Minor', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage']","[[10, 20], [11, 21], [12, 22], [13, 23], [20, 21], [21, 22], [22, 23], [20, 30], [21, 31], [22, 32], [23, 33], [30, 31], [31, 32], [32, 33], [30, 40], [31, 41], [32, 42], [33, 43], [40, 41], [41, 42], [42, 43]]","[[12.14939770790662, 8.670053083116006], [13.440573810647377, 11.645879735811507], [13.04554470604788, 11.222580663673345], [13.629096048097972, 10.331010515458724], [0.05299928808680151, 0.031163951314674247], [0.002430253525731566, 0.007999773479576833], [0.010830101177418195, 0.07754444818204156], [0.02556669178246621, 0.06881608227327761], [0.2470846290085757, 0.2985541330932869], [0.29612429291811077, 0.28784636094139887], [0.027578052778541178, 0.07839711709357633], [0.005854418805929958, 0.008243778604528976], [0.00032314194124614926, 0.003676044321289661], [-0.00012565831525810343, 0.017356785978898306], [0.000985744910699892, 0.002059058602562661], [0.015793070923683372, 0.03207539355451747], [0.013460616359680277, 0.026648144752785485], [0.0020255375078987396, 0.007416199605710863], [0.0003545826666445987, -0.00020815364863620615], [-0.00023194496910816035, -3.382638107596477e-05], [-0.0009621751206527474, 0.0009342044843464127]]","[[0.0012898, 0.00103963], [0.00127612, 0.00125214], [0.00127137, 0.00126359], [0.00132671, 0.00156826], [-2.09559e-05, -2.52531e-05], [2.91775e-06, -1.1977e-05], [9.63012e-06, -5.18818e-05], [-5.35928e-06, -2.88712e-06], [3.65707e-05, 4.47567e-05], [5.11908e-05, 4.59246e-05], [3.66975e-05, 7.8741e-05], [-5.41811e-06, -1.19508e-05], [9.33867e-07, -8.8521e-06], [9.04392e-07, -1.9507e-05], [-1.69359e-06, -2.64826e-06], [1.06917e-05, 1.51102e-05], [1.02698e-05, 1.36021e-05], [6.55434e-06, 2.13086e-05], [-2.4451e-06, -1.27784e-06], [6.90887e-07, -2.2684e-06], [3.75931e-07, -9.32103e-07]]"
4,0,LOMAP_TIB290,1,1.0906104108570962,0.36836285714285716,Minor,"[1020, 1121, 1222, 1323, 2021, 2122, 2223, 2030, 2131, 2232, 2333, 3031, 3132, 3233, 3040, 3141, 3242, 3343, 4041, 4142, 4243]","[1, 1, 1, 1, 1, 1, 1, 5, 5, 5, 5, 1, 1, 1, 5, 5, 5, 5, 1, 1, 1]","[0.3317027909837592, 0.76412280626025, 0.6580914523265623, 0.8047278527392496, 0.03609554279844088, 0.00619793921803998, 0.019036272190099367, 0.027678550400683247, 0.0972456753072322, 0.09766430288650826, 0.014843088795196538, 0.004752226946864229, 0.001707548242864202, 0.0031508382640352828, 0.0014945008745594198, 0.0036245777659895673, 0.004421512802332345, 0.0004471635685186909, 0.0002802843020174451, 0.00026150929822350063, 0.00023915240872296895]","[1, 1, 1, 1, 1, 1, 1, 5, 5, 5, 5, 1, 1, 1, 5, 5, 5, 5, 1, 1, 1]","[0.16921325683581898, 0.26155913775847844, 0.2383362293054183, 0.27184286748619996, 0.04357506150856715, 0.025755552885125595, 0.03470592434982437, 0.05350694840201252, 0.08872820581872247, 0.0887292166578413, 0.040449791232975325, 0.024833327325349864, 0.019877530015201986, 0.022785690891464396, 0.024470991765721466, 0.029450292738902595, 0.031058928579885528, 0.01881317497778394, 0.010106319336472836, 0.010261967130696258, 0.01069848344104247]","['Minor', 'Moderate', 'Moderate', 'Moderate', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage']","[[10, 20], [11, 21], [12, 22], [13, 23], [20, 21], [21, 22], [22, 23], [20, 30], [21, 31], [22, 32], [23, 33], [30, 31], [31, 32], [32, 33], [30, 40], [31, 41], [32, 42], [33, 43], [40, 41], [41, 42], [42, 43]]","[[0.3317027909837592, 0.08676777461911354], [0.76412280626025, 0.16426592723026195], [0.6580914523265623, 0.17229553581606072], [0.8047278527392496, 0.0429691851962171], [0.03609554279844088, 0.003148093298656812], [0.00619793921803998, 0.0005972416592842783], [0.019036272190099367, 0.015014500124125078], [0.008756824148628373, 0.027678550400683247], [0.07915618316577328, 0.0972456753072322], [0.07692940029583759, 0.09766430288650826], [0.0037261975227118847, 0.014843088795196538], [0.004752226946864229, 0.0003176608411318213], [0.001707548242864202, 7.29164466767955e-05], [0.0031508382640352828, 0.0009760172082227819], [0.0005807321996095895, 0.0014945008745594198], [0.0016924462494197793, 0.0036245777659895673], [0.0018303678055579965, 0.004421512802332345], [8.795062409372532e-05, 0.0004471635685186909], [0.0002802843020174451, -0.0001649809258618606], [0.00026150929822350063, -0.00014880246180435774], [0.00023915240872296895, -2.8189593019324263e-05]]","[[-0.000108944, -5.30482e-05], [-0.000127427, -3.03789e-05], [-0.000132231, -3.99441e-05], [-0.000181688, -3.29287e-06], [3.00476e-05, -1.32124e-06], [1.08536e-05, -3.16554e-07], [2.11674e-05, 9.93288e-06], [-1.77079e-05, -3.81624e-05], [-1.69103e-05, -1.89056e-05], [-2.02291e-05, -2.26547e-05], [3.8852e-06, 7.77887e-07], [7.78245e-06, -6.45851e-07], [4.81842e-06, -1.0593e-06], [5.79283e-06, 3.4351e-06], [-2.53819e-06, -1.05649e-05], [-3.71223e-06, -5.65195e-06], [-4.65458e-06, -7.92436e-06], [3.00118e-06, 3.5312e-06], [2.61666e-07, -2.53717e-07], [1.44978e-06, -6.18832e-07], [8.74326e-07, 1.27327e-06]]"
5,0,LOMAP_TRI000,1,0.025229028177043887,0.07588971428571427,No damage,"[1020, 1121, 1222, 1323, 2021, 2122, 2223, 2030, 2131, 2232, 2333, 3031, 3132, 3233, 3040, 3141, 3242, 3343, 4041, 4142, 4243]","[1, 1, 1, 1, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]","[0.0006632799665857467, 0.0013967707047439376, 0.0013922860097102755, 0.0007109374850953844, 0.00021050530971309072, 0.00012754009370386735, 0.00019105389369742656, 0.00021534183573887846, 0.0006821071633095328, 0.0006690190558598124, 0.000261777791912066, 8.913832955150365e-05, 7.585858525950009e-05, 0.00010769391110107736, 4.992029676119321e-05, 9.6890842949231e-05, 9.534617110524467e-05, 6.73732601454405e-05, 1.1764606549999454e-05, 1.3927578799999361e-05, 1.1238464257445045e-05]","[1, 1, 1, 1, 5, 5, 1, 5, 5, 5, 5, 5, 5, 1, 5, 5, 5, 5, 5, 5, 1]","[0.016545485802389452, 0.018251397645486354, 0.01789424156432266, 0.017650261042408043, 0.012457133421994008, 0.010925189902958588, 0.012029343484927612, 0.014410580170217735, 0.01527784603478927, 0.014773615016881163, 0.014891621079943036, 0.010345492628241942, 0.009568470723127375, 0.010162424339310965, 0.011076099986008238, 0.00888945369788132, 0.00872145022168193, 0.011191905284389498, 0.006242547252345711, 0.005919415785467708, 0.006204622096851057]","['No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage']","[[10, 20], [11, 21], [12, 22], [13, 23], [20, 21], [21, 22], [22, 23], [20, 30], [21, 31], [22, 32], [23, 33], [30, 31], [31, 32], [32, 33], [30, 40], [31, 41], [32, 42], [33, 43], [40, 41], [41, 42], [42, 43]]","[[0.0006632799665857467, 0.00025947956284958905], [0.0013967707047439376, 0.0008986708586436036], [0.0013922860097102755, 0.0008825916903516224], [0.0007109374850953844, 0.0003203612460866683], [0.0001404785270061511, 0.00021050530971309072], [7.48495160919547e-05, 0.00012754009370386735], [0.00012287951780943335, 0.00019105389369742656], [0.0001598588869097436, 0.00021534183573887846], [0.0006091340815158359, 0.0006821071633095328], [0.0005960078275340169, 0.0006690190558598124], [0.00019701760649809536, 0.000261777791912066], [7.320598224456749e-05, 8.913832955150365e-05], [4.155415550300155e-05, 7.585858525950009e-05], [4.908846296899661e-05, 0.00010769391110107736], [3.0647784965999664e-05, 4.992029676119321e-05], [6.01934985509701e-05, 9.6890842949231e-05], [5.88919782546106e-05, 9.534617110524467e-05], [3.8788341456501104e-05, 6.73732601454405e-05], [4.733231134345045e-06, 1.1764606549999454e-05], [4.861172149999422e-06, 1.3927578799999361e-05], [2.0956768499988453e-06, 1.1238464257445045e-05]]","[[-3.10928e-06, -4.16326e-06], [1.36383e-06, 1.27378e-06], [-3.07332e-07, -6.27057e-07], [4.08263e-06, 4.50249e-06], [-3.39247e-08, -1.2147e-06], [1.23592e-06, -1.38255e-06], [1.03058e-06, -2.87316e-07], [-3.58236e-06, -4.01983e-06], [9.02352e-07, 6.35484e-07], [-6.47691e-07, -2.1509e-07], [3.73716e-06, 4.30576e-06], [2.68217e-07, -8.17911e-07], [8.93816e-07, -9.4987e-07], [7.59009e-07, -3.69203e-07], [-1.10288e-06, -2.69174e-06], [1.03996e-07, 4.38588e-07], [-1.0022e-07, -3.44241e-07], [1.09216e-06, 2.76296e-06], [-3.28102e-07, -8.85654e-08], [3.29825e-07, -3.37886e-07], [8.32739e-08, 3.16934e-07]]"
6,0,LOMAP_UC2090,1,8.022968063619777,0.46126000000000006,Minor,"[1020, 1121, 1222, 1323, 2021, 2122, 2223, 2030, 2131, 2232, 2333, 3031, 3132, 3233, 3040, 3141, 3242, 3343, 4041, 4142, 4243]","[1, 1, 1, 1, 1, 5, 5, 5, 5, 5, 5, 1, 5, 5, 5, 5, 5, 5, 1, 5, 5]","[5.719146717198175, 5.430000125037068, 4.871550289946453, 5.730203054618134, 0.07659787539355228, 0.008381281855572936, 0.08775577121919342, 0.18360508148878263, 1.3617400750337945, 1.4004494430379397, 0.19381538395965375, 0.019462820341051273, 0.004165257917678596, 0.022800527075363855, 0.010489002562490468, 0.07696718498023555, 0.07552834501684777, 0.010190088807003695, 0.0005645912652218555, 0.00043509704616262164, 0.0006771433299846689]","[1, 1, 1, 1, 1, 5, 5, 5, 5, 5, 5, 1, 5, 5, 5, 5, 5, 5, 1, 5, 5]","[0.6502112699805367, 0.5975222796012059, 0.566029383706656, 0.6124112517126704, 0.048085545474830516, 0.02686731735491053, 0.055623455018130256, 0.10132868381780967, 0.31816604055955866, 0.3243521321651515, 0.11012183198312715, 0.03184745183552837, 0.023926857311976694, 0.035137706645073215, 0.03714126192265944, 0.06491863629980478, 0.06099987380495468, 0.03646136802763867, 0.013879442209019658, 0.013300965272062955, 0.013721448983640312]","['Severe', 'Severe', 'Severe', 'Severe', 'No damage', 'No damage', 'No damage', 'Minor', 'Moderate', 'Moderate', 'Minor', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage', 'No damage']","[[10, 20], [11, 21], [12, 22], [13, 23], [20, 21], [21, 22], [22, 23], [20, 30], [21, 31], [22, 32], [23, 33], [30, 31], [31, 32], [32, 33], [30, 40], [31, 41], [32, 42], [33, 43], [40, 41], [41, 42], [42, 43]]","[[5.719146717198175, 0.16007704871164755], [5.430000125037068, 0.8364323442731801], [4.871550289946453, 1.4158298590543295], [5.730203054618134, 0.1690920081489547], [0.07659787539355228, 0.032299261874489005], [0.006722754463190619, 0.008381281855572936], [0.025593672283485375, 0.08775577121919342], [0.10087803724405241, 0.18360508148878263], [0.4255718421647424, 1.3617400750337945], [0.4310909772412839, 1.4004494430379397], [0.10212654886262075, 0.19381538395965375], [0.019462820341051273, 0.01149622201090503], [0.0031711617742630287, 0.004165257917678596], [0.008006854614038142, 0.022800527075363855], [0.00233840148449393, 0.010489002562490468], [0.04475456495888801, 0.07696718498023555], [0.04507400049252525, 0.07552834501684777], [0.0020245589534880525, 0.010190088807003695], [0.0005645912652218555, 0.0002582601310098959], [-3.847559642429911e-06, 0.00043509704616262164], [3.071949069268127e-05, 0.0006771433299846689]]","[[0.000203601, -1.01209e-05], [0.000169716, 9.51391e-05], [0.000158346, 0.000109146], [0.000287544, 5.44564e-05], [7.97093e-07, -2.35681e-05], [7.16993e-06, -9.1942e-06], [1.82975e-05, -3.34776e-05], [-2.35083e-05, -2.95224e-05], [2.16948e-05, 0.000163949], [1.31014e-05, 0.000165434], [4.95543e-05, 7.90756e-05], [4.96349e-06, -1.1294e-05], [4.687e-06, -6.7707e-06], [7.9021e-06, -1.44665e-05], [-7.15546e-06, -1.64281e-05], [4.43896e-06, 6.4986e-06], [2.41895e-06, 7.11016e-07], [3.79721e-06, 1.76958e-05], [-1.07855e-06, -9.92855e-07], [1.72589e-06, -2.16119e-06], [1.06844e-06, 9.89882e-07]]"
