,True,Predicted
1710,1.79695,0.9432921608610345
1711,2.22313,1.1462373594720143
1712,1.82808,0.9506761086775176
1713,1.27667,0.6709276420850289
1714,1.16591,0.6055226231707154
1715,1.59244,0.8190992198974899
1716,2.28012,1.1612700054421765
1717,2.68418,1.3527505757359821
1718,2.34266,1.1775507341958318
1719,1.3876,0.6991342098971192
1720,0.463764,0.23257953474262577
1721,0.150337,0.07344129918073983
1722,0.173289,0.0863896683931617
1723,0.231424,0.11932464622748455
1724,-0.0427717,-0.019456089891787837
1725,-0.708988,-0.36668189549182967
1726,-1.41661,-0.7436048230631643
1727,-1.68455,-0.892705976701254
1728,-1.23414,-0.6544077076809982
1729,-0.257658,-0.14117726603555106
1730,0.631534,0.3240476765140609
1731,0.870062,0.4541697864585891
1732,0.272915,0.14284122718981337
1733,-0.365455,-0.18590745356872865
1734,-0.471444,-0.23878092442382953
1735,-0.0213806,-0.0015979519823238009
1736,0.635087,0.3675329373408391
1737,0.91962,0.52952372133426
1738,0.172934,0.11132222873958925
1739,-1.45003,-0.741258054886461
1740,-2.54568,-1.2903279492302233
1741,-2.68922,-1.359904481302109
1742,-2.38311,-1.2027854596604066
1743,-2.30647,-1.1611558379262443
1744,-2.55808,-1.2900201088481753
1745,-2.83761,-1.4321481611286377
1746,-3.5793,-1.8021423222577193
1747,-3.62718,-1.8231167767508998
1748,-2.58328,-1.2962461491264559
1749,-1.31734,-0.6601633838038593
1750,-0.42527,-0.21319411284729328
1751,0.00490532,0.0023156883472927954
1752,0.139493,0.06995260088941725
1753,0.357364,0.17951587597058954
1754,1.25566,0.6291066596255589
1755,2.46765,1.2354080558030671
1756,3.26577,1.6348951684603164
1757,3.23218,1.618219195705176
1758,2.50955,1.2563064269552688
1759,1.60106,0.8013991866722858
1760,1.15508,0.5783102962628943
1761,1.35078,0.6761982246209334
1762,1.64929,0.825523994278041
1763,1.34873,0.6749738829252487
1764,0.0170351,0.008666854243521168
1765,-1.05723,-0.5293803232769649
1766,-1.44247,-0.7225702070184802
1767,-1.35942,-0.6810743661576166
1768,-1.00895,-0.5057525250415209
1769,-0.797462,-0.4001581812747974
1770,-0.925275,-0.4644010152049572
1771,-1.18626,-0.5957240999093427
1772,-1.22077,-0.6160856102889372
1773,-0.615518,-0.31166423462049025
1774,0.395242,0.20289363209527977
1775,0.697153,0.3590667594003107
1776,0.609072,0.31502756875662385
1777,0.613504,0.3166879437149866
1778,0.766351,0.3967526270395598
1779,0.943836,0.49743314611860884
1780,1.19577,0.6428254600869181
1781,1.20812,0.6634655608377545
1782,0.626472,0.3530407666786515
1783,-0.264826,-0.20990994635126523
1784,-0.625118,-0.5396025674203716
1785,-0.290588,-0.3121198942039899
1786,0.0553821,-0.040573715971641874
1787,0.0286064,-0.023105470376370715
1788,-0.282504,-0.24912278874118784
1789,-0.78255,-0.6273098526069801
1790,-1.08241,-0.8530746025697262
1791,-0.761708,-0.6202154857633848
1792,0.0589865,0.03689023194763838
1793,0.756702,0.651091573913188
1794,0.798809,0.7246434318956998
1795,0.540951,0.4926820818737028
1796,0.434814,0.3589527224450599
1797,0.749191,0.6216611415620183
1798,1.39058,1.1814745865657723
1799,1.84623,1.5153303858537157
1800,1.86256,1.469764306578267
1801,1.48754,1.0885544593519894
1802,0.99095,0.6484963022657196
1803,0.787572,0.46464978689701286
1804,1.07177,0.627034021891835
1805,1.51062,0.8660120911283299
1806,1.50296,0.8466275384513781
1807,0.912011,0.5126683359253794
1808,0.172844,0.0989383621938084
1809,-0.17569,-0.10471562111856092
1810,0.024548,0.0028707279340766073
1811,0.338286,0.19246277803556533
1812,0.374348,0.23060702247229284
1813,0.0906873,0.06971854478769249
1814,-0.491127,-0.2715277078435299
