,OK=0,Ground motion,Load factor,E - glob,Gl Drift,Gl Drift - class,Element ID,Section ID (E el.),E el.,Max. Pla. def. el.,Res. Pla. def. el.
0,0,BIGBEAR_DHP090,1,2.3891096909388074,0.0024719542857142853,No damage,"[1020, 2030]","[1, 5]","[0.3074908211319146, 0.03130561786677988]","[0.00119192, 0.000147331]","[-9.12963e-06, -5.9615e-06]"
1,0,BORREGO_A-ELC180,1,0.8444603300895136,0.003180485714285714,No damage,"[1020, 2030]","[1, 5]","[0.06672885215683376, 0.004596800129483104]","[0.000209576, -6.55077e-06]","[-1.3565e-05, -3.68284e-06]"
2,0,CAPEMEND_EUR090,1,7.464967730907269,0.051217142857142864,No damage,"[1020, 2030]","[1, 5]","[5.126717310061892, 0.03691371654784422]","[-0.00306711, 8.94256e-05]","[0.000334803, 6.50758e-06]"
3,0,CAPEMEND_FOR090,1,0.7923697133836795,0.0088334,No damage,"[1020, 2030]","[1, 5]","[0.14946987143548582, 0.004503465204892565]","[-0.000663507, -2.1334e-05]","[-4.91415e-05, -8.33505e-06]"
4,0,CAPEMEND_RIO270,1,54.790840425404,0.2865028571428571,Repairable,"[1020, 2030]","[1, 5]","[34.43523913665538, 1.5062191097208837]","[0.023689, 0.00353464]","[0.0043697, 0.000571212]"
5,0,CHALFANT_A-BEN360,1,5.316474836477305,0.0080196,No damage,"[1020, 2030]","[1, 5]","[3.630574298057252, 0.06638181728473593]","[-0.00281068, 0.000202042]","[0.000132981, -7.70771e-06]"
